time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-08T00:31:20.700Z,38.8088333,-122.822,2.31,1.37,md,48,54,0.005608,0.04,nc,nc73689871,2022-02-08T06:03:17.699Z,"7km WNW of The Geysers, CA",earthquake,0.12,0.23,0.098,14,reviewed,nc,nc
2022-02-08T00:28:14.550Z,19.3818333333333,-155.6105,6.89,2.5,ml,46,64,,0.13,hv,hv72908052,2022-02-08T00:44:51.650Z,"24 km NW of Pāhala, Hawaii",earthquake,0.24,0.35,0.126414742760452,13,reviewed,hv,hv
2022-02-08T00:19:32.650Z,19.1928329467773,-155.396835327148,32.3699989318848,1.87,md,34,178,,0.100000001,hv,hv72908047,2022-02-08T00:22:44.710Z,"8 km E of Pāhala, Hawaii",earthquake,0.74,1,1.38,6,automatic,hv,hv
2022-02-07T23:54:58.780Z,48.41,-123.55366666666667,-0.25,1.02,ml,6,139,0.1523,0.54,uw,uw61815561,2022-02-08T05:14:32.400Z,"3 km NNW of Metchosin, Canada",explosion,1.39,31.61,0.03234363486524949,3,reviewed,uw,uw
2022-02-07T23:53:21.530Z,38.7863333,-122.7666667,2.08,1.6,md,50,67,0.01527,0.03,nc,nc73689866,2022-02-08T02:14:11.315Z,"1km NW of The Geysers, CA",earthquake,0.13,0.21,0.233,22,reviewed,nc,nc
2022-02-07T23:29:32.813Z,12.0544,141.6595,35,5.4,mww,,38,3.481,0.99,us,us7000giyh,2022-02-08T05:39:35.324Z,"282 km NNE of Fais, Micronesia",earthquake,9.2,2,0.086,13,reviewed,us,us
2022-02-07T23:28:39.290Z,35.6618333,-117.4276667,2.73,1.35,ml,18,145,0.08026,0.18,ci,ci40179624,2022-02-07T23:32:14.888Z,"12km S of Searles Valley, CA",earthquake,0.38,0.62,0.16,11,automatic,ci,ci
2022-02-07T23:26:13.600Z,46.35583333333334,-122.74666666666667,-0.77,1.16,ml,11,101,0.1186,0.18,uw,uw61815556,2022-02-08T05:09:25.990Z,"12 km SE of Toledo, Washington",explosion,0.65,31.61,0.19045770779042748,8,reviewed,uw,uw
2022-02-07T23:09:48.070Z,33.5026667,-116.51,5.65,0.77,ml,24,56,0.05743,0.17,ci,ci40179616,2022-02-07T23:13:18.775Z,"16km ESE of Anza, CA",earthquake,0.25,0.71,0.113,21,automatic,ci,ci
2022-02-07T22:59:48.030Z,33.0565,-114.9968333,3.66,1.37,ml,13,62,0.08551,0.15,ci,ci40179608,2022-02-07T23:33:40.633Z,"45km NE of Holtville, CA",earthquake,0.45,0.6,0.149,4,reviewed,ci,ci
2022-02-07T22:56:13.290Z,18.0428333333333,-66.6663333333333,18.67,1.93,md,14,154,,0.11,pr,pr71333483,2022-02-07T23:51:19.240Z,"3 km ESE of Tallaboa Alta, Puerto Rico",earthquake,0.33,0.36,0.105831078700931,5,reviewed,pr,pr
2022-02-07T22:42:34.089Z,29.7957,141.2201,56.37,4.5,mb,,73,3.52,0.71,us,us7000giyc,2022-02-08T00:45:53.040Z,"Izu Islands, Japan region",earthquake,8.5,5.7,0.08,46,reviewed,us,us
2022-02-07T22:40:05.520Z,19.5035,-155.675833333333,5.7,1.28,md,13,126,,0.1,hv,hv72907937,2022-02-08T00:35:03.790Z,"20 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.39,0.76,0.186771300700588,5,reviewed,hv,hv
2022-02-07T22:36:38.270Z,19.2038326263428,-155.38883972168,31.6100006103516,1.76,ml,44,159,,0.140000001,hv,hv72907932,2022-02-07T22:42:09.480Z,"9 km E of Pāhala, Hawaii",earthquake,0.59,0.829999983,4.41,4,automatic,hv,hv
2022-02-07T22:36:32.610Z,47.4175,-122.73566666666666,26.36,1.53,ml,23,64,0.1028,0.26,uw,uw61815546,2022-02-08T04:20:27.730Z,"7 km ENE of Allyn, Washington",earthquake,0.45,0.8,0.07167985869559201,7,reviewed,uw,uw
2022-02-07T22:33:07.132Z,60.3635,-151.8879,82.4,2,ml,,,,0.54,ak,ak0221r7pt9u,2022-02-07T22:38:55.959Z,"31 km WNW of Clam Gulch, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-02-07T22:31:47.000Z,37.7805,-122.5781667,7.22,1,md,14,195,0.08309,0.05,nc,nc73689861,2022-02-08T04:46:16.244Z,"8km NW of San Francisco Zoo, CA",earthquake,0.46,0.86,0.101,9,reviewed,nc,nc
2022-02-07T22:27:24.950Z,35.6813333,-117.4863333,6.05,1.35,ml,23,100,0.09665,0.12,ci,ci40179560,2022-02-07T23:56:22.750Z,"12km SW of Searles Valley, CA",earthquake,0.19,0.66,0.134,8,reviewed,ci,ci
2022-02-07T22:19:52.560Z,19.1616666666667,-155.4665,35.77,1.55,md,12,271,,0.11,hv,hv72907907,2022-02-07T23:15:03.780Z,"4 km SSE of Pāhala, Hawaii",earthquake,1.01,0.76,0.0220405800038814,7,reviewed,hv,hv
2022-02-07T22:15:16.430Z,44.4281667,-115.2053333,4.89,1.63,ml,6,132,0.869,0.2,mb,mb80537934,2022-02-07T23:56:32.450Z,"31 km NW of Stanley, Idaho",earthquake,1.03,2.41,0.175,6,reviewed,mb,mb
2022-02-07T22:11:52.979Z,61.4811,-151.8897,9.2,1.1,ml,,,,0.95,ak,ak0221r7l71d,2022-02-07T22:14:32.891Z,"57 km NW of Beluga, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-02-07T22:11:26.810Z,32.665,-115.6635,12.45,0.47,ml,4,303,0.0553,0.05,ci,ci40179536,2022-02-07T23:58:17.766Z,"12km NW of Progreso, B.C., MX",earthquake,0.59,31.61,0.019,3,reviewed,ci,ci
2022-02-07T22:10:26.066Z,38.1585,-118.0104,4.7,1.1,ml,13,137.71,0.045,0.1379,nn,nn00833426,2022-02-08T02:38:11.917Z,"27 km SSE of Mina, Nevada",earthquake,,2.4,0.48,4,reviewed,nn,nn
2022-02-07T21:50:47.555Z,44.2185,-115.0051,10,2.5,ml,,70,0.782,0.94,us,us7000gixu,2022-02-08T01:22:45.563Z,"5 km W of Stanley, Idaho",earthquake,2,2,0.055,44,reviewed,us,us
2022-02-07T21:48:17.620Z,33.5556667,-116.6615,8.34,1.23,ml,38,44,0.02807,0.11,ci,ci40179504,2022-02-07T23:43:35.280Z,"1km E of Anza, CA",earthquake,0.14,0.25,0.119,21,reviewed,ci,ci
2022-02-07T21:42:12.780Z,17.9375,-66.9606666666667,13.65,1.89,md,6,223,,0.4,pr,pr71333453,2022-02-07T22:08:40.010Z,"6 km SW of Guánica, Puerto Rico",earthquake,2.43,1.4,0.105145688590395,6,reviewed,pr,pr
2022-02-07T21:37:40.010Z,32.9067,84.5899,10,4,mb,,104,5.124,0.75,us,us7000gixs,2022-02-07T23:57:03.040Z,"western Xizang",earthquake,8,2,0.125,17,reviewed,us,us
